Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0119090912083531,8.4984409054404E-05,0.0423942810406298,0,0,0,105.564993059326,4.20513009209965,0.0134358395892136,-0.194865924125848,11.0601963023685,-0.00511185176563676,13.454262276326,0,0,0,0,0,0,package://six/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://six/meshes/base_link.STL,l,Partthan-1;Noicarlike-3;Noicarlike-1;khop1-1;khop2-1;khop3-1;Lidar-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_rb,-1.52166612643612E-11,0.0499994312484847,-2.53794728288792E-11,0,0,0,6.86394677263579,0.0486340780001551,8.94936539307187E-12,8.63565720978465E-12,0.0869593911567191,2.8145540103692E-11,0.0486340780038043,0,0,0,0,0,0,package://six/meshes/link_rb.STL,1,1,1,1,0,0,0,0,0,0,package://six/meshes/link_rb.STL,,banhxe-2,RB_cs,RB_axis,joint_rb,continuous,-0.4486,-0.39992,-0.030718,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_lb,1.25177090914974E-11,-0.0499994312484748,2.54926878218154E-11,0,0,0,6.86394677267223,0.0486340779941603,1.00471706054397E-11,4.20028396768673E-12,0.0869593911579852,2.33574040253059E-11,0.0486340780096409,0,0,0,0,0,0,package://six/meshes/link_lb.STL,1,1,1,1,0,0,0,0,0,0,package://six/meshes/link_lb.STL,,banhxe-3,LB_cs,LB_axis,joint_lb,continuous,-0.4486,0.40008,-0.030718,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_rf,2.88922219482401E-11,0.0499994312485906,3.73488739935368E-12,0,0,0,6.86394677264213,0.0486340780109953,-2.88614034703621E-11,-1.18281906759627E-12,0.0869593911566334,-7.25300719216216E-12,0.0486340779925056,0,0,0,0,0,0,package://six/meshes/link_rf.STL,1,1,1,1,0,0,0,0,0,0,package://six/meshes/link_rf.STL,,banhxe-4,RF_cs,RF_axis,joint_rf,continuous,0.3914,-0.39992,-0.030718,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_lf,1.1845247005482E-11,-0.0499994312484017,2.59869417651437E-11,0,0,0,6.86394677267259,0.0486340779946045,1.01004933890448E-11,4.01302156450457E-12,0.0869593911582054,2.21907287031965E-11,0.0486340780094871,0,0,0,0,0,0,package://six/meshes/link_lf.STL,1,1,1,1,0,0,0,0,0,0,package://six/meshes/link_lf.STL,,banhxe-7,FL_cs,FL_axis,joint_lf,continuous,0.3914,0.40008,-0.030718,0,0,0,base_link,0,1,0,,,,,,,,,,,,
